regime,run,step,agent,n_known,gap_frac,rho_count,rho_bound,precision,recall,u_local
A3_obs005,9,1000,1,8714.0,0.097895,0.981381,-0.704337,0.605042,0.154839,99.306338
A3_obs005,9,1000,2,8714.0,0.097895,0.979997,-0.705156,0.605042,0.154839,99.306338
A3_obs005,9,2500,0,9185.0,0.035368,0.768991,-0.479039,0.390411,0.169643,59.80226
A3_obs005,9,2500,1,8766.0,0.035368,0.771093,-0.450307,0.325581,0.166667,74.649746
A3_obs005,9,2500,2,9185.0,0.035368,0.787537,-0.533213,0.401408,0.169643,60.672727
A3_obs005,9,4500,0,9221.0,0.035158,0.93034,-0.547666,0.52381,0.164671,43.68
A3_obs005,9,4500,1,9221.0,0.035158,0.896657,-0.558712,0.52381,0.164671,45.882353
A3_obs005,9,4500,2,9221.0,0.035158,0.960003,-0.542218,0.539216,0.164671,44.405172
A6_obs005,0,1000,0,9347.0,0.022737,0.914523,-0.579823,0.484375,0.287037,66.081301
A6_obs005,0,1000,1,9008.0,0.022737,0.616942,-0.518729,0.145215,0.203704,143.426332
A6_obs005,0,1000,2,9344.0,0.022737,0.948811,-0.600547,0.462687,0.287037,66.5
A6_obs005,0,1000,3,9347.0,0.022737,0.910628,-0.583608,0.484375,0.287037,63.5
A6_obs005,0,1000,4,9344.0,0.022737,0.894644,-0.572571,0.462687,0.287037,65.043796
A6_obs005,0,1000,5,9344.0,0.022737,0.948811,-0.600547,0.462687,0.287037,66.5
A6_obs005,0,2500,0,9500.0,0.0,0.916702,-0.060255,0.0,0.0,1.0
A6_obs005,0,2500,1,9290.0,0.0,0.062069,-0.254668,0.0,0.0,78.970588
A6_obs005,0,2500,2,9500.0,0.0,0.916702,-0.060255,0.0,0.0,1.0
A6_obs005,0,2500,3,9500.0,0.0,0.880751,-0.062817,0.0,0.0,1.0
A6_obs005,0,2500,4,9486.0,0.0,0.129206,-0.268849,0.0,0.0,5.9375
A6_obs005,0,2500,5,9500.0,0.0,0.95745,-0.057585,0.0,0.0,1.0
A6_obs005,1,1000,0,8615.0,0.010842,0.721673,-0.383064,0.223684,0.330097,77.020134
A6_obs005,1,1000,1,9361.0,0.010842,0.769363,-0.41612,0.333333,0.38835,43.012048
A6_obs005,1,1000,2,9361.0,0.010842,0.758883,-0.413579,0.333333,0.38835,43.012048
A6_obs005,1,1000,3,8590.0,0.010842,0.826511,-0.456713,0.300885,0.330097,56.5
A6_obs005,1,1000,4,8590.0,0.010842,0.826511,-0.456713,0.300885,0.330097,56.5
A6_obs005,1,1000,5,8615.0,0.010842,0.731821,-0.400717,0.223684,0.330097,79.694444
A6_obs005,1,2500,0,9500.0,0.0,0.942846,-0.049745,0.0,0.0,1.0
A6_obs005,1,2500,1,9500.0,0.0,0.247889,-0.106665,0.0,0.0,1.0
A6_obs005,1,2500,2,9500.0,0.0,0.888936,-0.052656,0.0,0.0,1.0
A6_obs005,1,2500,3,9500.0,0.0,0.769871,-0.060922,0.0,0.0,1.0
A6_obs005,1,2500,4,9500.0,0.0,0.236619,-0.104702,0.0,0.0,1.0
A6_obs005,1,2500,5,9500.0,0.0,0.942846,-0.049745,0.0,0.0,1.0
A6_obs005,2,1000,0,8784.0,0.017263,0.695453,-0.564054,0.141553,0.189024,105.623894
A6_obs005,2,1000,1,9299.0,0.017263,0.813421,-0.578019,0.398693,0.371951,60.879581
A6_obs005,2,1000,2,9299.0,0.017263,0.811224,-0.579131,0.398693,0.371951,60.879581
A6_obs005,2,1000,3,8784.0,0.017263,0.695064,-0.564079,0.141553,0.189024,105.623894
A6_obs005,2,1000,4,8137.0,0.017263,0.648625,-0.58087,0.12844,0.170732,111.570755
A6_obs005,2,1000,5,9299.0,0.017263,0.811964,-0.578518,0.398693,0.371951,60.879581
A6_obs005,2,2500,0,9500.0,0.0,0.90908,-0.139956,0.0,0.0,1.0
A6_obs005,2,2500,1,9500.0,0.0,0.90908,-0.139956,0.0,0.0,1.0
A6_obs005,2,2500,2,9476.0,0.0,0.41306,-0.172756,0.0,0.0,5.884615
A6_obs005,2,2500,3,9476.0,0.0,0.417559,-0.169034,0.0,0.0,5.884615
A6_obs005,2,2500,4,9500.0,0.0,0.816846,-0.158693,0.0,0.0,1.0
A6_obs005,2,2500,5,9500.0,0.0,0.90908,-0.139956,0.0,0.0,1.5
A6_obs005,3,1000,0,9335.0,0.019053,0.903155,-0.632876,0.348214,0.21547,37.672727
A6_obs005,3,1000,1,9335.0,0.019053,0.91001,-0.630464,0.348214,0.21547,37.672727
A6_obs005,3,1000,2,9335.0,0.019053,0.910631,-0.630035,0.348214,0.21547,37.672727
A6_obs005,3,1000,3,8256.0,0.019053,0.617479,-0.526073,0.086331,0.132597,131.859589
A6_obs005,3,1000,4,9027.0,0.019053,0.777946,-0.520212,0.25625,0.226519,66.25
A6_obs005,3,1000,5,9027.0,0.019053,0.777087,-0.520851,0.25625,0.226519,66.25
A6_obs005,3,2500,0,9500.0,0.0,0.885323,-0.087415,0.0,0.0,1.0
A6_obs005,3,2500,1,9500.0,0.0,0.885323,-0.087415,0.0,0.0,1.0
A6_obs005,3,2500,2,9500.0,0.0,0.885323,-0.087415,0.0,0.0,1.0
A6_obs005,3,2500,3,9473.0,0.0,0.128631,-0.156174,0.0,0.0,12.958904
A6_obs005,3,2500,4,9371.0,0.0,0.148672,-0.112066,0.0,0.0,15.05
A6_obs005,3,2500,5,9500.0,0.0,0.885323,-0.087415,0.0,0.0,1.0
A6_obs005,4,1000,0,8913.0,0.037368,0.739607,-0.585969,0.245283,0.109859,57.884793
A6_obs005,4,1000,1,8925.0,0.037368,0.771599,-0.507738,0.278788,0.129577,73.532609
A6_obs005,4,1000,2,9136.0,0.037368,0.774658,-0.593434,0.29932,0.123944,48.121076
A6_obs005,4,1000,3,8895.0,0.037368,0.778974,-0.549063,0.282209,0.129577,74.59322
A6_obs005,4,1000,4,8878.0,0.037368,0.751446,-0.491565,0.248649,0.129577,84.676617
A6_obs005,4,1000,5,8895.0,0.037368,0.785341,-0.556754,0.282209,0.129577,75.017045
A6_obs005,4,2500,0,9500.0,0.000421,0.813513,-0.238443,0.333333,0.5,1.0
A6_obs005,4,2500,1,9500.0,0.000421,0.76127,-0.250656,0.4,0.5,1.0
A6_obs005,4,2500,2,9500.0,0.000421,0.529439,-0.317176,0.105263,0.5,3.288462
A6_obs005,4,2500,3,9500.0,0.000421,0.815437,-0.237793,0.333333,0.5,1.0
A6_obs005,4,2500,4,9500.0,0.000421,0.529439,-0.317176,0.105263,0.5,3.288462
A6_obs005,4,2500,5,9500.0,0.000421,0.508869,-0.325584,0.105263,0.5,3.288462
A6_obs005,5,1000,0,8876.0,0.074632,0.900724,-0.711855,0.491379,0.16079,105.082353
A6_obs005,5,1000,1,8835.0,0.074632,0.848899,-0.678164,0.391753,0.16079,144.010239
A6_obs005,5,1000,2,8835.0,0.074632,0.848899,-0.678164,0.391753,0.16079,144.010239
A6_obs005,5,1000,3,8865.0,0.074632,0.893744,-0.708232,0.469136,0.16079,119.040486
A6_obs005,5,1000,4,8865.0,0.074632,0.893744,-0.708232,0.469136,0.16079,119.040486
A6_obs005,5,1000,5,8839.0,0.074632,0.876773,-0.692283,0.391753,0.16079,153.436364
A6_obs005,5,2500,0,9311.0,0.005368,0.762368,-0.430749,0.306122,0.294118,17.043478
A6_obs005,5,2500,1,9468.0,0.005368,0.988093,-0.409156,0.533333,0.313725,8.877551
A6_obs005,5,2500,2,9311.0,0.005368,0.800395,-0.433128,0.3125,0.294118,17.090909
A6_obs005,5,2500,3,9311.0,0.005368,0.800395,-0.433128,0.3125,0.294118,17.090909
